model,release_year,screen_size_inches,price_usd,base_storage_gb,advertised_launch_price_usd,price_basis,notes,specification_source_url,price_source_url,inner_screen_size_inches,outer_screen_size_inches,form_factor,announcement_date,scheduled_release_date,release_status,status_as_of,price_source_publisher,price_source_type,price_source_note,price_verification_status,price_source_checked_on,advertised_launch_price_source_url,advertised_price_source_publisher,advertised_price_verification_status,pricing_conditions_source_url,pricing_conditions_source_note
iPhone (1st generation),2007,3.5,499,4,499,full_device_contract_required,Original 4GB model. $499 device price; AT&T/Cingular activation and a service contract were required.,https://www.apple.com/newsroom/2007/01/09Apple-Reinvents-the-Phone-with-iPhone/,https://www.apple.com/newsroom/2007/01/09Apple-Reinvents-the-Phone-with-iPhone/,,,slate,,,released,2026-09-14,Apple,primary_manufacturer,4GB device price; service activation and a contract were required.,verified_primary_source,2026-09-14,https://www.apple.com/newsroom/2007/01/09Apple-Reinvents-the-Phone-with-iPhone/,Apple,verified_primary_source,,
iPhone 3G,2008,3.5,,8,199,full_device_price_unverified,$199 was the subsidized two-year-contract price. Full-device launch price is left blank; do not substitute the later-announced $599 no-commitment price.,https://www.apple.com/newsroom/2008/06/09Apple-Introduces-the-New-iPhone-3G/,,,,slate,,,released,2026-09-14,,,No verified full-device price. The $199 contract price has its own source below.,missing_full_device_price,2026-09-14,https://www.apple.com/newsroom/2008/06/09Apple-Introduces-the-New-iPhone-3G/,Apple,verified_primary_source,,
iPhone 3GS,2009,3.5,599,16,199,launch_era_full_device,Full-device launch-era retail price; advertised_launch_price_usd is the subsidized two-year-contract price. No-commitment service activation still applied.,https://www.apple.com/newsroom/2009/06/08Apple-Announces-the-New-iPhone-3GS-The-Fastest-Most-Powerful-iPhone-Yet/,https://arstechnica.com/gadgets/2009/06/att-on-tethering-iphone-3g-s-pre-orders-early-upgrades/,,,slate,,,released,2026-09-14,Ars Technica,contemporaneous_reporting,16GB no-commitment price; AT&T activation was still required.,verified_contemporaneous_reporting,2026-09-14,https://www.apple.com/newsroom/2009/06/08Apple-Announces-the-New-iPhone-3GS-The-Fastest-Most-Powerful-iPhone-Yet/,Apple,verified_primary_source,,
iPhone 4,2010,3.5,599,16,199,launch_era_full_device,"Full-device launch-era retail price; advertised_launch_price_usd is the subsidized two-year-contract price. $599 is the carrier-locked no-commitment price, not the later $649 unlocked price.",https://www.apple.com/newsroom/2010/06/07Apple-Presents-iPhone-4/,https://osxdaily.com/2010/07/08/iphone-4-price-without-contract/,,,slate,,,released,2026-09-14,OS X Daily,contemporaneous_reporting,"16GB no-commitment price, carrier-locked; not the later unlocked price.",verified_contemporaneous_reporting,2026-09-14,https://www.apple.com/newsroom/2010/06/07Apple-Presents-iPhone-4/,Apple,verified_primary_source,,
iPhone 4S,2011,3.5,649,16,199,launch_era_full_device,Full-device launch-era retail price; advertised_launch_price_usd is the subsidized two-year-contract price. Unlocked sales followed in November 2011; this is not a claim of launch-day unlocked availability.,https://www.apple.com/newsroom/2011/10/04Apple-Launches-iPhone-4S-iOS-5-iCloud/,https://osxdaily.com/2011/10/07/unlocked-iphone-4s-available-november-costs/,,,slate,,,released,2026-09-14,OS X Daily,contemporaneous_reporting,"16GB unlocked price; unlocked sales began in November, after the initial launch.",verified_contemporaneous_reporting,2026-09-14,https://www.apple.com/newsroom/2011/10/04Apple-Launches-iPhone-4S-iOS-5-iCloud/,Apple,verified_primary_source,,
iPhone 5,2012,4.0,649,16,199,launch_era_full_device,Full-device launch-era retail price; advertised_launch_price_usd is the subsidized two-year-contract price. Retail price announced in September; US Apple unlocked sales followed later.,https://www.apple.com/newsroom/2012/09/12Apple-Introduces-iPhone-5/,https://techcrunch.com/2012/09/13/iphone-5-unlocked-u-s-pricing-649-16gb-749-32gb-and-849-64gb/,,,slate,,,released,2026-09-14,TechCrunch,contemporaneous_reporting,16GB unlocked.,verified_contemporaneous_reporting,2026-09-14,https://www.apple.com/newsroom/2012/09/12Apple-Introduces-iPhone-5/,Apple,verified_primary_source,,
iPhone 5c,2013,4.0,549,16,99,launch_era_full_device,Full-device launch-era retail price; advertised_launch_price_usd is the subsidized two-year-contract price.,https://www.apple.com/newsroom/2013/09/10Apple-Introduces-iPhone-5c-The-Most-Colorful-iPhone-Yet/,https://www.engadget.com/2013-09-10-unlocked-prices-for-iphone-5c-start-at-549-iphone-5s-at-649.html,,,slate,,,released,2026-09-14,Engadget,contemporaneous_reporting,16GB unlocked.,verified_contemporaneous_reporting,2026-09-14,https://www.apple.com/newsroom/2013/09/10Apple-Introduces-iPhone-5c-The-Most-Colorful-iPhone-Yet/,Apple,verified_primary_source,,
iPhone 5s,2013,4.0,649,16,199,launch_era_full_device,Full-device launch-era retail price; advertised_launch_price_usd is the subsidized two-year-contract price.,https://www.apple.com/newsroom/2013/09/10Apple-Announces-iPhone-5s-The-Most-Forward-Thinking-Smartphone-in-the-World/,https://www.engadget.com/2013-09-10-unlocked-prices-for-iphone-5c-start-at-549-iphone-5s-at-649.html,,,slate,,,released,2026-09-14,Engadget,contemporaneous_reporting,16GB unlocked.,verified_contemporaneous_reporting,2026-09-14,https://www.apple.com/newsroom/2013/09/10Apple-Announces-iPhone-5s-The-Most-Forward-Thinking-Smartphone-in-the-World/,Apple,verified_primary_source,,
iPhone 6,2014,4.7,649,16,199,launch_era_full_device,Full-device launch-era retail price; advertised_launch_price_usd is the subsidized two-year-contract price.,https://www.apple.com/newsroom/2014/09/09Apple-Announces-iPhone-6-iPhone-6-Plus-The-Biggest-Advancements-in-iPhone-History/,https://www.engadget.com/2014-09-16-iphone-6-and-6-plus-review.html,,,slate,,,released,2026-09-14,Engadget,contemporaneous_reporting,16GB retail.,verified_contemporaneous_reporting,2026-09-14,https://www.apple.com/newsroom/2014/09/09Apple-Announces-iPhone-6-iPhone-6-Plus-The-Biggest-Advancements-in-iPhone-History/,Apple,verified_primary_source,,
iPhone 6 Plus,2014,5.5,749,16,299,launch_era_full_device,Full-device launch-era retail price; advertised_launch_price_usd is the subsidized two-year-contract price.,https://www.apple.com/newsroom/2014/09/09Apple-Announces-iPhone-6-iPhone-6-Plus-The-Biggest-Advancements-in-iPhone-History/,https://www.engadget.com/2014-09-16-iphone-6-and-6-plus-review.html,,,slate,,,released,2026-09-14,Engadget,contemporaneous_reporting,16GB retail.,verified_contemporaneous_reporting,2026-09-14,https://www.apple.com/newsroom/2014/09/09Apple-Announces-iPhone-6-iPhone-6-Plus-The-Biggest-Advancements-in-iPhone-History/,Apple,verified_primary_source,,
